"somme","type","definition","exceptions","valeur","name","report"
,"S","['269','279','404','405','4084','4088']","[]","solde","pw","bilan"
,"C","['467','468','478']","[]","solde","px_credit","bilan"
,"S","['4196','4197','4198','464','509']","[]","solde","px_solde","bilan"
,"S","['52']","[]","solde","py","bilan"
,"S","['487']","[]","solde","pz","bilan"
,"S","['481']","[]","solde","tc3","bilan"
,"S","['169']","[]","solde","tc4","bilan"
,"S","['476']","[]","solde","tc5","bilan"
,"S","['755']","[]","solde","tp2","resultat"
1,"S","['ca','cb','cc','cd','ce','cf','cg','ch','ci','cj','ck','cl','cm','cn','co','cp','cq','cr','ct','cs']","[]",,"tc1","bilan"
1,"S","['ct','cu','cv','cw','cx','cy_debit','cy_solde','cz','cab','cac','cad','cae','caf','cag']","[]",,"tc2","bilan"
1,"S","['aca','acb','acc','acd','ace','acf','acg','ach','aci','acj','ack','acl','acm','acn','aco','acp','acq']","[]",,"atc1","bilan"
1,"S","['acr','acs','act','acu','acv','acw','acx','acy']","[]",,"atc2","bilan"
1,"S","['pa','pb','pc','pd','pe','pf','pg','ph','pic','pid','pk','pl']","[]",,"ptc1","bilan"
1,"S","['paa']","[]",,"ptc5","bilan"
1,"S","['pn','po']","[]",,"ptc2","bilan"
1,"S","['pp','pq']","[]",,"ptc3","bilan"
1,"S","['pr','ps','pr_solde','pr_credit','ps_solde','ps_credit','pt','pu','pv_solde','pv_credit','pw','px_solde','px_credit','py','pz']","[]",,"ptc4","bilan"
1,"S","['tc1','tc2','tc3','tc4','tc5']","[]",,"totalactif","bilan"
1,"S","['atc1','atc2']","[]",,"totalactifamo","bilan"
1,"S","['ca','cb','cc','cd','ce','cf','cg','ch','ci','cj','ck','cl','cm']","[]",,"tc1","resultat"
1," ","['cw']","[]","solde","tc2","resultat"
1,"S","['cn','co','cc','cp','cq']","[]",,"tc3","resultat"
1,"S","['cr','cs','ct']","[]",,"tc4","resultat"
1,"S","['cv']","[]",,"tc5","resultat"
1,"S","['cu']","[]",,"tc6","resultat"
1,"S","['pa','pb']","[]",,"psta","resultat"
1,"S","['pc','pd','pe','pf','pg']","[]",,"pstb","resultat"
1,"S","['psta','pstb']","[]",,"tp1","resultat"
1,"S","['ph','pi','pj','pk','pl','pm']","[]",,"tp3","resultat"
1,"S","['pn','po','pp']","[]",,"tp4","resultat"
1,"S","['tc1','tc2','tc3','tc4','tc5','tc6']","[]",,"totalcharges","resultat"
1,"S","['tp1','tp2','tp3','tp4']","[]",,"totalproduits","resultat"
